sentence,pattern,num_matches,has_match,best_similarity,has_c_to_e,has_e_to_c,match_1_similarity,match_1_language,match_2_similarity,match_2_language,match_3_similarity,match_3_language
Uh sure But 我 啲 朋友 call me Jojo,E3-C3-E3,20,True,0.6666666666666667,True,True,0.6666666666666667,english,0.6666666666666667,english,0.6666666666666667,english
但係 其實 I was born in Canada 但係 我 三 個 禮拜 就 返 咗 嚟 所以 我 覺得 都 唔 計 啦,C2-E5-C16,20,True,1.0,True,True,1.0,english,1.0,english,1.0,english
Uh 香港 兩 個 都 係 香港,E1-C6,10,True,0.8,False,True,0.8,cantonese,0.6,cantonese,0.6,cantonese
Uh 大陸,E1-C1,10,True,1.0,False,True,1.0,cantonese,1.0,cantonese,0.5,cantonese
Uh 香港,E1-C1,10,True,1.0,False,True,1.0,cantonese,1.0,cantonese,0.5,cantonese
Uh 我 打 畀 你 呀,E1-C5,10,True,0.8,False,True,0.8,cantonese,0.8,cantonese,0.8,cantonese
International 啦 小學 跟住 就 uh 幼稚園,E1-C4-E1-C1,30,True,1.0,True,True,1.0,english,0.8,cantonese,0.8,cantonese
無 呀 一個 月 囉 一兩個 月 都 唔 計 囉 即係 嗰啲 summer holiday 嗰啲,C13-E2-C1,20,True,1.0,True,True,1.0,cantonese,1.0,cantonese,1.0,cantonese
Uh 西班牙 咁 樣 囉 係 嘞,E1-C6,10,True,0.8,False,True,0.8,cantonese,0.8,cantonese,0.8,cantonese
Uh 細個 嗰時 有囉 同 我 妹 有囉 但係 大大 吓 我 諗 小學 即係 八 七 八九 歲 又 即係 無 返 啊 咁 樣 咪 算 啊 咁 樣 囉,E1-C31,10,True,0.8,False,True,0.8,cantonese,0.6,cantonese,0.6,cantonese
香港人 但係 唔係 local 嘅 香港人 即係 無 typical local 囉 因為 international school 嘅 raising,C3-E1-C4-E2-C2-E2-C1-E1,70,True,0.8,True,True,0.8,cantonese,0.8,cantonese,0.8,cantonese
即係 身分 就 似 香港人 但係 culturally 就 可能 似 返 啲 ABC 多 啲 囉 因為 即係 即係 睇 啲 media 全部 都 係 外國 啊 咁 樣 跟住 教育 又 係 英文 啊 跟住 啲 朋友 又 係 講 英文 啊 咁 樣 所以 就 會 外國 化 多 啲 囉 但係 有無 比起 一個,C6-E1-C5-E1-C8-E1-C35,60,True,0.8571428571428572,True,True,0.8571428571428572,english,0.8571428571428572,cantonese,0.8571428571428572,cantonese
但係 有無 比起 一個 ABC 咁 ABC 囉,C4-E1-C1-E1-C1,40,True,0.8,True,True,0.8,english,0.8,english,0.75,cantonese
其實 我 hmm,C2-E1,10,True,1.0,True,False,1.0,english,1.0,english,1.0,english
都 係 im 都 係 通常 嗰啲 外國 born 嘅 Chinese 囉 無 話 特別 邊個 國家 嘅 加拿大 啊 美國 英國 澳洲 囉 呢啲 English speaking country 咁 樣,C2-E1-C5-E1-C1-E1-C14-E3-C2,80,True,1.0,True,True,1.0,cantonese,0.8571428571428572,cantonese,0.8571428571428572,cantonese
但係 即係 可能 又 有啲 嘢 喺 美國 佢哋 又 好 specific to 美國 我 又 未必 知 嘅 係 喇,C11-E2-C8,20,True,0.7142857142857143,True,True,0.7142857142857143,english,0.7142857142857143,english,0.7142857142857143,english
Uh 中學 同學 啦,E1-C3,10,True,0.75,False,True,0.75,cantonese,0.75,cantonese,0.75,cantonese
Uh 好多 都 係 呀 哦 哦,E1-C6,10,True,0.8,False,True,0.8,cantonese,0.8,cantonese,0.8,cantonese
Uh 大部分 都 係 中國人,E1-C4,10,True,0.8,False,True,0.8,cantonese,0.8,cantonese,0.8,cantonese
Uh 香港人 呀 我 覺得 Mm,E1-C4-E1,20,True,1.0,True,True,1.0,english,1.0,english,1.0,english
例子 呀 Eh,C2-E1,10,True,1.0,True,False,1.0,english,1.0,english,1.0,english
即係 香港人 比較 樸素 嘅 即係 佢 又 譬如 佢哋 點講 呢 我 諗 吓 啲 例子 先 Mm,C18-E1,10,True,0.75,True,False,0.75,english,0.75,english,0.75,english
香港 覺得 香港人 比較 即係 realistic 嘅 即係 focus on 啲 譬如,C5-E1-C2-E2-C2,40,True,0.8,True,True,0.8,cantonese,0.8,cantonese,0.8,cantonese
譬如 啲 嘢 儲錢 咁 樣 佢哋 會 諗 將來 啦 係 啦 即係 比較 rational 啲 係 啦 vers 外國 就 可能 eh 會 可能 諗 依家 think about the live in the present 多過 planning for the future 啦 咁 呢個 係 一個 香港 一個 係 喇 或者 Chinese culture 一種 即係 諗法 啦,C15-E1-C3-E1-C3-E1-C4-E7-C1-E4-C10-E2-C4,120,True,0.8571428571428572,True,True,0.8571428571428572,english,0.8571428571428572,english,0.7142857142857143,english
但係 呢啲 都 好 Chinese 嘅 specific to 香港 呢 香港人 鍾意 搵錢 囉 係 喇 咁 樣 囉,C4-E1-C1-E2-C11,40,True,0.7142857142857143,True,True,0.7142857142857143,english,0.7142857142857143,english,0.7142857142857143,english
係 嘞 香港 Okay,C3-E1,10,True,0.75,True,False,0.75,english,0.75,english,0.75,english
Mm 我 覺得 香港 好 特別 就係 廣東話 囉 即係 要 廣東話 要 講得 即係 明白 個 語言 囉,E1-C18,10,True,0.8,False,True,0.8,cantonese,0.8,cantonese,0.8,cantonese
即係 好 佢 好多 嘢 都 係 好 好 subtle 㗎 嘛 即係 啲 成語 啊 或者 啲 句子 啊 都,C9-E1-C11,20,True,0.7142857142857143,True,True,0.7142857142857143,english,0.7142857142857143,english,0.7142857142857143,english
係 嘞 呢 樣嘢 會 separate 香港 囉 同埋 而家 啲 近排 啦 即係 politically 啲 香港 即係 個 identity 呢 都 好 strong 啦,C5-E1-C8-E1-C4-E1-C3-E1-C1,80,True,1.0,True,True,1.0,cantonese,1.0,cantonese,1.0,cantonese
Understand 即係 struggles of 香港人 as well 囉 即係 我哋 啲 譬如 買樓 啊 好 辛苦 啊 儲 唔 到 錢 啊 咁 樣 或者 同 阿媽 住 呀 咁 樣 呢啲 struggles 佢哋 會 明白 囉 唔 鍾意 政府 啦 係 嘞,E1-C1-E2-C1-E2-C25-E1-C10,70,True,0.8333333333333334,True,True,0.8333333333333334,english,0.8333333333333334,english,0.8333333333333334,english
Uh 香港 好 潮 濕 啦 即係 我 覺得 香港人 其實 比較 鍾意 complain 㗎 但係 所以 就 obviously 有 好多 好嘢 啦 但係 就 係 嘞 係 啦,E1-C12-E1-C4-E1-C10,50,True,0.8571428571428572,True,True,0.8571428571428572,cantonese,0.8571428571428572,cantonese,0.8,cantonese
真 中國人 我 覺得 eh 好 嘅 方面 來講 呢 即係 啲 好 eh 啲 values 啦 譬如 嗰啲 咩 忠孝 仁義 即係 孔子 留低 嗰啲 eh 要 愛錫 屋企人 啊 要 尊重 乜乜乜 啊 係 嘞 嗰啲 啦,C4-E1-C8-E1-C1-E1-C10-E1-C12,80,True,0.8571428571428572,True,True,0.8571428571428572,english,0.8571428571428572,english,0.8571428571428572,cantonese
Eh 讀 嗰啲 好 嘅 qualities 啦 就 eh 比較 humble 啦 eh 無 即係 驕傲 啊 無 即係 eh show off 啊,E1-C4-E1-C2-E1-C1-E1-C1-E1-C6-E3-C1,110,True,0.8571428571428572,True,True,0.8571428571428572,cantonese,0.8,cantonese,0.8,cantonese
You know 即係 呢啲 好 considerate 囉 我 覺得 中 即係 中國 嗰個,E2-C3-E1-C7,30,True,0.8333333333333334,True,True,0.8333333333333334,cantonese,0.7142857142857143,english,0.7142857142857143,english
要 去 諗 對方 嗰個 perspective 啦,C5-E1-C1,20,True,1.0,True,True,1.0,cantonese,1.0,cantonese,1.0,cantonese
Eh 要 禮尚往來 啦 要 即係 呢啲 好多 customs 啦 注重 festivals 啦 eh,E1-C7-E1-C2-E1-C1-E1,60,True,0.8571428571428572,True,True,0.8571428571428572,cantonese,0.8,cantonese,0.8,cantonese
