sentence,pattern,lang_type,pos_sequence,sequence_length,error
Uh sure But 我 啲 朋友 call me Jojo,E3-C3-E3,Code-switched,INTJ INTJ CCONJ PRON NOUN NOUN VERB PRON PROPN,9,False
J O J O,E4,English,PROPN PROPN PROPN PROPN,4,False
我 填 問卷 嗰時 呢 佢 畀 我 揀 三 格 㗎 嘛 咁 我 就 揀 咗 香港,C19,Cantonese,PRON VERB NOUN PRON PART PRON VERB PRON VERB NUM VERB PART VERB ADV PRON ADV VERB PART PROPN,19,False
但係 其實 I was born in Canada 但係 我 三 個 禮拜 就 返 咗 嚟 所以 我 覺得 都 唔 計 啦,C2-E5-C16,Code-switched,CCONJ ADV PRON AUX VERB ADP PROPN CCONJ PRON NUM NOUN NOUN ADV VERB PART VERB CCONJ PRON VERB ADV ADV VERB NOUN,23,False
但係 我 三 個 禮拜 就 返 咗 嚟 所以 我 覺得 都 唔 計 啦 係咪 啊 即係 我 都 無 係 嗰度 出世 即係 長大 過,C28,Cantonese,CCONJ PRON NUM NOUN NOUN ADV VERB PART VERB CCONJ PRON VERB ADV ADV VERB NOUN VERB PART CCONJ PRON ADV VERB VERB PRON VERB CCONJ ADJ PART,28,False
都 係 嘅,C3,Cantonese,ADV VERB PART,3,False
哦 好 囉,C3,Cantonese,INTJ ADV ADJ,3,False
做緊 嘢,C2,Cantonese,PRON NOUN,2,False
我 做 醫生,C3,Cantonese,PRON VERB NOUN,3,False
Uh 香港 兩 個 都 係 香港,E1-C6,Code-switched,INTJ PROPN NUM NOUN ADV VERB PROPN,7,False
Uh 大陸,E1-C1,Code-switched,INTJ PROPN,2,False
應該 係 係 即係 上 一代 嗰啲 呢 喺 即係 香港 好多 潮州 人 㗎 嘛,C16,Cantonese,AUX VERB VERB CCONJ VERB NOUN PRON PART ADP CCONJ PROPN NUM NOUN NOUN PART NOUN,16,False
即係 我 婆婆 爺爺 就 喺 嗰邊 囉 跟住 就嚟 咗 香港 嗰邊 囉,C14,Cantonese,CCONJ PRON NOUN NOUN ADV ADP PRON PROPN CCONJ VERB PART PROPN PRON PROPN,14,False
係 呀,C2,Cantonese,VERB PART,2,False
有 有 個 妹,C4,Cantonese,VERB VERB NOUN NOUN,4,False
都 係 屋企 囉 都 係 喺 香港 出世,C9,Cantonese,ADV VERB NOUN ADV ADV VERB ADP PROPN VERB,9,False
香港 係 嘞,C3,Cantonese,PROPN VERB PART,3,False
Uh 香港,E1-C1,Code-switched,INTJ PROPN,2,False
無 我 都 淨係 香港 𠺢,C6,Cantonese,ADV PRON ADV ADV PROPN PART,6,False
出世 跟住 返 咗 香港 喇 跟住 就 無 係 啦 無 住 過 其他 地方,C16,Cantonese,VERB CCONJ VERB PART PROPN PART CCONJ ADV ADV VERB ADV VERB PART PART PRON NOUN,16,False
都 係 香港,C3,Cantonese,ADV VERB PROPN,3,False
我 嗰時 返國 際 學校,C5,Cantonese,PRON PRON VERB VERB NOUN,5,False
係 喇 係 喇,C4,Cantonese,VERB PART VERB PART,4,False
幼稚園 都 係,C3,Cantonese,NOUN ADV VERB,3,False
Uh 我 打 畀 你 呀,E1-C5,Code-switched,INTJ PRON VERB ADP PRON PART,6,False
International 啦 小學 跟住 就 uh 幼稚園,E1-C4-E1-C1,Code-switched,PROPN PROPN NOUN CCONJ ADV INTJ ADV,7,False
跟住 小學 就 跟住 中學 就,C6,Cantonese,CCONJ NOUN ADV CCONJ NOUN ADV,6,False
係 呀 唔同 㗎,C4,Cantonese,VERB PART ADJ PART,4,False
我 通常 我哋 都 係 嘅 但係 我哋 會 一條龍 咁 上 囉,C13,Cantonese,PRON ADV PRON ADV VERB PART CCONJ PRON AUX X ADV VERB NOUN,13,False
即係 其實 啲 同學 都 係 一樣 嘅 但係 個名 就 唔同 咁 樣,C14,Cantonese,CCONJ ADV NOUN NOUN ADV VERB ADJ PART CCONJ NOUN ADV ADJ ADV ADJ,14,False
無 呀 一個 月 囉 一兩個 月 都 唔 計 囉 即係 嗰啲 summer holiday 嗰啲,C13-E2-C1,Code-switched,ADJ PART PRON NOUN VERB PRON NOUN ADV ADV VERB NOUN CCONJ PRON NOUN NOUN PRON,16,False
Uh 西班牙 咁 樣 囉 係 嘞,E1-C6,Code-switched,INTJ NOUN ADV NOUN NOUN VERB PART,7,False
媽媽 係 基督徒,C3,Cantonese,NOUN VERB NOUN,3,False
即係 但 唔係 話 好 虔誠 嗰啲 囉 即係 有時 返 吓 教會 啊 聚會 吓 咁 樣 囉,C19,Cantonese,CCONJ CCONJ VERB VERB ADV ADJ PRON NOUN CCONJ ADV VERB PART NOUN PART VERB PART ADV ADJ ADP,19,False
係 嘞,C2,Cantonese,VERB PART,2,False
我 無,C2,Cantonese,PRON ADV,2,False
Uh 細個 嗰時 有囉 同 我 妹 有囉 但係 大大 吓 我 諗 小學 即係 八 七 八九 歲 又 即係 無 返 啊 咁 樣 咪 算 啊 咁 樣 囉,E1-C31,Code-switched,INTJ ADJ PRON VERB ADP PRON NOUN VERB CCONJ PROPN PART PRON VERB NOUN CCONJ NUM NUM NUM NOUN ADV CCONJ VERB PART PART ADV NOUN ADV VERB PART ADV NOUN ADP,32,False
唔 算,C2,Cantonese,ADV VERB,2,False
香港人 囉 係 喇,C4,Cantonese,PROPN NOUN VERB PART,4,False
香港人 但係 唔係 local 嘅 香港人 即係 無 typical local 囉 因為 international school 嘅 raising,C3-E1-C4-E2-C2-E2-C1-E1,Code-switched,PROPN CCONJ VERB ADJ PART NOUN CCONJ PROPN ADJ ADJ ADJ CCONJ PROPN NOUN PART VERB,16,False
即係 身分 就 似 香港人 但係 culturally 就 可能 似 返 啲 ABC 多 啲 囉 因為 即係 即係 睇 啲 media 全部 都 係 外國 啊 咁 樣 跟住 教育 又 係 英文 啊 跟住 啲 朋友 又 係 講 英文 啊 咁 樣 所以 就 會 外國 化 多 啲 囉 但係 有無 比起 一個,C6-E1-C5-E1-C8-E1-C35,Code-switched,CCONJ NOUN ADV VERB PROPN CCONJ ADV ADV AUX VERB PART NOUN PROPN ADJ PART NOUN CCONJ CCONJ CCONJ VERB NOUN NOUN ADV ADV VERB NOUN PART ADV NOUN CCONJ VERB ADV VERB PROPN PART CCONJ NOUN NOUN ADV VERB VERB PROPN PART ADV ADJ CCONJ ADV AUX NOUN VERB ADJ PART NOUN CCONJ VERB VERB PRON,57,False
但係 有無 比起 一個 ABC 咁 ABC 囉,C4-E1-C1-E1-C1,Code-switched,CCONJ VERB VERB PRON PROPN ADV PROPN X,8,False
即係 係 喇,C3,Cantonese,CCONJ VERB PART,3,False
其實 我 hmm,C2-E1,Code-switched,ADV PRON INTJ,3,False
我 諗 最 接近 都 係,C6,Cantonese,PRON VERB ADV VERB ADV VERB,6,False
都 係 im 都 係 通常 嗰啲 外國 born 嘅 Chinese 囉 無 話 特別 邊個 國家 嘅 加拿大 啊 美國 英國 澳洲 囉 呢啲 English speaking country 咁 樣,C2-E1-C5-E1-C1-E1-C14-E3-C2,Code-switched,ADV VERB PRON VERB ADV VERB ADV PRON NOUN VERB PART ADJ ADV ADJ VERB ADV PRON NOUN PART NOUN PART PROPN PROPN PROPN NOUN PRON ADJ VERB NOUN ADV NOUN,31,False
係 喇,C2,Cantonese,VERB PART,2,False
係 喇,C2,Cantonese,VERB PART,2,False
但係 即係 可能 又 有啲 嘢 喺 美國 佢哋 又 好 specific to 美國 我 又 未必 知 嘅 係 喇,C11-E2-C8,Code-switched,CCONJ CCONJ AUX ADV PRON NOUN ADP PROPN PRON ADV ADV ADJ ADP PROPN PRON ADV ADV VERB PART VERB PART,21,False
咁 樣 囉,C3,Cantonese,ADV NOUN ADP,3,False
Uh 中學 同學 啦,E1-C3,Code-switched,INTJ NOUN NOUN NOUN,4,False
Uh 好多 都 係 呀 哦 哦,E1-C6,Code-switched,INTJ NUM ADV VERB PART INTJ INTJ,7,False
Uh 大部分 都 係 中國人,E1-C4,Code-switched,INTJ NOUN ADV VERB NOUN,5,False
係 喇,C2,Cantonese,VERB PART,2,False
大部分 中國,C2,Cantonese,PROPN PROPN,2,False
係 喇 係 喇 始終 係 囉 香港 囉,C9,Cantonese,VERB PART VERB PART ADV VERB VERB PROPN NOUN,9,False
係 喇 係 喇,C4,Cantonese,VERB PART VERB PART,4,False
大部分 人中 國 係 啦,C5,Cantonese,NUM NOUN NOUN VERB VERB,5,False
大部分 人中 國 係 啦,C5,Cantonese,NUM NOUN NOUN VERB VERB,5,False
有 幾 個 外國人 囉 係 喇 但係 大部分 中國,C10,Cantonese,VERB NUM NOUN NOUN NOUN VERB PART CCONJ ADV PROPN,10,False
係 喇 但係 大部分 中國,C5,Cantonese,VERB PART CCONJ ADV PROPN,5,False
中國 即係 外 香港人 囉 係 喇,C7,Cantonese,PROPN CCONJ ADJ NOUN VERB VERB PART,7,False
Uh 香港人 呀 我 覺得 Mm,E1-C4-E1,Code-switched,INTJ PROPN PART PRON VERB NOUN,6,False
熟習 佢 嘅 文化 囉 係 嘞 即係 可能 香港 都 係 有 佢 嘅 特別 嗰種 文化 嗰種 諗嘢 嘅 方法 囉 係 嘞,C25,Cantonese,VERB PRON PART NOUN NOUN VERB PART CCONJ AUX PROPN ADV VERB VERB PRON PART ADV PRON NOUN PRON NOUN PART NOUN NOUN VERB PART,25,False
例子 呀 Eh,C2-E1,Code-switched,NOUN PART INTJ,3,False
即係 香港人 比較 樸素 嘅 即係 佢 又 譬如 佢哋 點講 呢 我 諗 吓 啲 例子 先 Mm,C18-E1,Code-switched,CCONJ PROPN ADV ADJ PART CCONJ PRON ADV VERB PRON PRON PART PRON VERB PART NOUN NOUN ADV NOUN,19,False
香港 覺得 香港人 比較 即係 realistic 嘅 即係 focus on 啲 譬如,C5-E1-C2-E2-C2,Code-switched,PROPN VERB PROPN ADV CCONJ ADJ PART CCONJ VERB ADP NOUN VERB,12,False
譬如 啲 嘢 儲錢 咁 樣 佢哋 會 諗 將來 啦 係 啦 即係 比較 rational 啲 係 啦 vers 外國 就 可能 eh 會 可能 諗 依家 think about the live in the present 多過 planning for the future 啦 咁 呢個 係 一個 香港 一個 係 喇 或者 Chinese culture 一種 即係 諗法 啦,C15-E1-C3-E1-C3-E1-C4-E7-C1-E4-C10-E2-C4,Code-switched,VERB NOUN NOUN VERB ADV ADJ PRON AUX VERB ADV VERB VERB VERB CCONJ ADV PROPN NOUN VERB X NOUN NOUN ADV AUX INTJ AUX AUX VERB NOUN VERB ADP DET NOUN ADP DET ADJ ADV VERB ADP DET NOUN VERB ADV ADJ VERB ADV PROPN ADV VERB PART CCONJ ADJ NOUN ADV CCONJ NOUN VERB,56,False
係 喇 佢哋 會 比較 注重 家庭 啦 都 香港 係 喇,C12,Cantonese,VERB PART PRON AUX ADV ADJ NOUN VERB ADV PROPN VERB PART,12,False
但係 呢啲 都 好 Chinese 嘅 specific to 香港 呢 香港人 鍾意 搵錢 囉 係 喇 咁 樣 囉,C4-E1-C1-E2-C11,Code-switched,CCONJ PRON ADV ADV ADJ PART ADJ ADP PROPN PART PROPN VERB VERB NOUN VERB PART ADV NOUN ADP,19,False
係 嘞 香港 Okay,C3-E1,Code-switched,VERB PART PROPN INTJ,4,False
