original,cleaned,annotation_text_before,annotation_text_after
— 八 七,八 七,— 八 七,八 七
咁 你 –,咁 你,咁 你 –,咁 你
–,,–,
即 係 —,即係,即 係 —,即係
"佢 噉 樣 — , 呢 幾 個",佢 噉樣 呢 幾 個,"佢 噉 樣 — , 呢 幾 個",佢 噉樣 呢 幾 個
咁 要 —,咁 要,咁 要 —,咁 要
"即 係 我 食 — , 成 日 食 螺 絲 咁 , 就 , 係 減 弱 左 ,",即係 我 食 成日 食螺絲 咁 就 係 減弱 左,"即 係 我 食 — , 成 日 食 螺 絲 咁 , 就 , 係 減 弱 左 , 但 係 , 即 係 如 果",即係 我 食 成日 食螺絲 咁 就 係 減弱 左 但係 即係 如果
咁 我 可 能 會 問 係 咪 — —   咁 我 可 能 會 問 係 咪 — —   問 佢,咁 我 可能 會 問 係咪 咁 我 可能 會 問 係咪 問 佢,"咁 我 可 能 會 問 係 咪 — —   咁 我 可 能 會 問 係 咪 — —   問 佢 啊 你 係 咪 ,",咁 我 可能 會 問 係咪 咁 我 可能 會 問 係咪 問 佢 啊 你 係咪
咁 我 可 能 會 問 係 咪 — —   咁 我 可 能 會 問 係 咪 — —   問 佢,咁 我 可能 會 問 係咪 咁 我 可能 會 問 係咪 問 佢,"咁 我 可 能 會 問 係 咪 — —   咁 我 可 能 會 問 係 咪 — —   問 佢 啊 你 係 咪 ,",咁 我 可能 會 問 係咪 咁 我 可能 會 問 係咪 問 佢 啊 你 係咪
咁 我 可 能 會 問 係 咪 — —   咁 我 可 能 會 問 係 咪 — —   問 佢,咁 我 可能 會 問 係咪 咁 我 可能 會 問 係咪 問 佢,"咁 我 可 能 會 問 係 咪 — —   咁 我 可 能 會 問 係 咪 — —   問 佢 啊 你 係 咪 ,",咁 我 可能 會 問 係咪 咁 我 可能 會 問 係咪 問 佢 啊 你 係咪
咁 我 可 能 會 問 係 咪 — —   咁 我 可 能 會 問 係 咪 — —   問 佢,咁 我 可能 會 問 係咪 咁 我 可能 會 問 係咪 問 佢,"咁 我 可 能 會 問 係 咪 — —   咁 我 可 能 會 問 係 咪 — —   問 佢 啊 你 係 咪 ,",咁 我 可能 會 問 係咪 咁 我 可能 會 問 係咪 問 佢 啊 你 係咪
係 — —,係,係 — —,係
係 — —,係,係 — —,係
人 先 啦 咁 始 終 係 美 國 出 世 咁 同 埋 係 — —,人 先 啦 咁 始終 係 美國 出世 咁 同埋 係,哦 咁 首 先 係 一 定 係 美 國 人 先 啦 咁 始 終 係 美 國 出 世 咁 同 埋 係 — —,哦 咁 首先 係 一定 係 美國人 先 啦 咁 始終 係 美國 出世 咁 同埋 係
人 先 啦 咁 始 終 係 美 國 出 世 咁 同 埋 係 — —,人 先 啦 咁 始終 係 美國 出世 咁 同埋 係,哦 咁 首 先 係 一 定 係 美 國 人 先 啦 咁 始 終 係 美 國 出 世 咁 同 埋 係 — —,哦 咁 首先 係 一定 係 美國人 先 啦 咁 始終 係 美國 出世 咁 同埋 係
到 啲 共 通 嘅 特 點 啦 即 如 果 你 講 而 家 — —,到 啲 共通 嘅 特點 啦 即如 果 你 講 而家,"即 譬 如 有 啲 文 化 好 唔 同 嘅 嘅 群 體 , 咁 譬 如 譬 如 維 吾 爾 人 或 者 西 藏 人 咁 佢 都 會 話 係 中 國 人 嘅 話 咁 就 好 難 有 啲 好 難 搵 到 啲 共 通 嘅 特 點 啦 即 如 果 你 講 而 家 — —",即 譬如 有啲 文化 好 唔同 嘅 嘅 群 體 咁 譬如 譬如 維吾爾人 或者 西藏人 咁 佢 都 會話 係 中國人 嘅話 咁 就 好 難 有啲 好 難搵 到 啲 共通 嘅 特點 啦 即如 果 你 講 而家
