original,cleaned,annotation_text_before,annotation_text_after
with U-R that,with U R that,"But international school is like an English foundation, so all my teachers were British, so spell color with U-R that sort of thing.",But international school is like an English foundation so all my teachers were British so spell color with U R that sort of thing
J-O-J-O.,J O J O,J-O-J-O.,J O J O
But -,But,But -,But
uh-huh.,uh huh,uh-huh.,uh huh
"uh-huh, ",uh huh,"uh-huh, ",uh huh
uh-huh.,uh huh,uh-huh.,uh huh
"ll I mean accent-wise,",ll I mean accent wise,"Uh, well people say that I sometimes speak too fast? Uh, other than that, oh well I mean accent-wise,",Uh well people say that I sometimes speak too fast Uh other than that oh well I mean accent wise
"t is multi-ethnic and,",t is multi ethnic and," so, uh I think my ideal of Hong Kong is that it is multi-ethnic and, if you are from if you are of Pakistani or Indian, ancestry then, it's not necessary that you learn to speak Cantonese.",so uh I think my ideal of Hong Kong is that it is multi ethnic and if you are from if you are of Pakistani or Indian ancestry then it's not necessary that you learn to speak Cantonese
"because, only-- ",because only,"Okay. Uh, so, is, is because, only-- ",Okay Uh so is is because only
-- eh,eh,-- eh,eh
-- ehh,ehh,-- ehh,ehh
-- eh,eh,-- eh,eh
-- ehh,ehh,-- ehh,ehh
: to my-- mayb,to my mayb,"Um, if I use Cantonese its most likely my parents, my family and also my friends. And then if I use English as most likely to my teachers, or to um:: to my-- maybe in a job interview. And then, and I will use both, Chinese and English when I am, texting with my friends. Yes.",Um if I use Cantonese its most likely my parents my family and also my friends And then if I use English as most likely to my teachers or to um to my maybe in a job interview And then and I will use both Chinese and English when I am texting with my friends Yes
-- ehh,ehh,-- ehh,ehh
daily-use,daily use,daily-use,daily use
Hong Kong-- Hong,Hong Kong Hong,"Mm:: I think, if like Hong Kong-- Hong Kong people and foreigners is like half half.",Mm I think if like Hong Kong Hong Kong people and foreigners is like half half
-- eh,eh,-- eh,eh
-- eh,eh,-- eh,eh
"um, not--",um not,"um, not--",um not
"Um, not--",Um not,"Um, not--",Um not
Hong--,Hong,Hong--,Hong
it's like--  aft,it's like aft,"Uh it really depends because like, um my family is not a religious, Christian family at first, it's like--  after I growing up, um, um my mom start going to church.
",Uh it really depends because like um my family is not a religious Christian family at first it's like after I growing up um um my mom start going to church
it's called-- I we,it's called I we,"Um, I went for kind of like, a few... I I don't know what it's called-- I went for international school when I was in kindergarten,",Um I went for kind of like a few I I don't know what it's called I went for international school when I was in kindergarten
