reconstructed_sentence,sentence_original,pattern,matrix_language,group_code,group,participant_id,filler_count,has_fillers
我 填 問卷 嗰時 呢 佢 畀 我 揀 三 格 㗎 嘛 咁 我 就 揀 咗 香港,"(X)(X) — 我填問卷嗰時呢:: 佢畀我揀三格㗎嘛, 咁我就揀咗香港.",C19,Cantonese,H,Homeland,ACH2004,0,False
但係 我 三 個 禮拜 就 返 咗 嚟 所以 我 覺得 都 唔 計 啦 係咪 啊 即係 我 都 無 係 嗰度 出世 即係 長大 過,"所以我覺得都唔計啦, 係咪啊. 即係我都無係嗰度出世, 即係長大過.",C28,Cantonese,H,Homeland,ACH2004,2,True
都 係 嘅,都係嘅. ,C3,Cantonese,H,Homeland,ACH2004,0,False
哦 好 囉,哦:: 好囉.,C3,Cantonese,H,Homeland,ACH2004,1,True
做緊 嘢,做緊嘢.,C2,Cantonese,H,Homeland,ACH2004,0,False
我 做 醫生,我做醫生.,C3,Cantonese,H,Homeland,ACH2004,0,False
應該 係 係 即係 上 一代 嗰啲 呢 喺 即係 香港 好多 潮州 人 㗎 嘛,"應該係:: 係, 即係上一代嗰啲呢喺 — 即係香港好多潮州人㗎嘛, ",C16,Cantonese,H,Homeland,ACH2004,0,False
即係 我 婆婆 爺爺 就 喺 嗰邊 囉 跟住 就嚟 咗 香港 嗰邊 囉,即係我婆婆爺爺就喺嗰邊囉跟住就嚟咗香港嗰邊囉.,C14,Cantonese,H,Homeland,ACH2004,0,False
係 呀,係呀.,C2,Cantonese,H,Homeland,ACH2004,0,False
有 有 個 妹,"有, 有個妹.",C4,Cantonese,H,Homeland,ACH2004,0,False
都 係 屋企 囉 都 係 喺 香港 出世,"都係屋企囉, 都係喺香港出世. ",C9,Cantonese,H,Homeland,ACH2004,0,False
香港 係 嘞,香港. 係嘞.,C3,Cantonese,H,Homeland,ACH2004,0,False
無 我 都 淨係 香港 𠺢,"無, 我都淨係香港𠺢.",C6,Cantonese,H,Homeland,ACH2004,0,False
出世 跟住 返 咗 香港 喇 跟住 就 無 係 啦 無 住 過 其他 地方,"出世, 跟住返咗香港喇, 跟住就無:: 係啦, 無住過其他地方.",C16,Cantonese,H,Homeland,ACH2004,0,False
都 係 香港,都係香港.,C3,Cantonese,H,Homeland,ACH2004,0,False
我 嗰時 返國 際 學校,我嗰時返國際學校.,C5,Cantonese,H,Homeland,ACH2004,0,False
係 喇 係 喇,"係喇, 係喇.",C4,Cantonese,H,Homeland,ACH2004,0,False
幼稚園 都 係,幼稚園都係.,C3,Cantonese,H,Homeland,ACH2004,0,False
跟住 小學 就 跟住 中學 就,"跟住:: (小學)就 XXXXX, 跟住中學就 XXXXX.",C6,Cantonese,H,Homeland,ACH2004,0,False
係 呀 唔同 㗎,"係呀, 唔同㗎.",C4,Cantonese,H,Homeland,ACH2004,0,False
我 通常 我哋 都 係 嘅 但係 我哋 會 一條龍 咁 上 囉,我通常 — 我哋都係嘅但係我哋會一條龍咁上囉.,C13,Cantonese,H,Homeland,ACH2004,0,False
即係 其實 啲 同學 都 係 一樣 嘅 但係 個名 就 唔同 咁 樣,"即係其實啲同學都係一樣嘅, 但係個名就唔同咁樣.",C14,Cantonese,H,Homeland,ACH2004,0,False
媽媽 係 基督徒,媽媽係:: 基督徒.,C3,Cantonese,H,Homeland,ACH2004,0,False
即係 但 唔係 話 好 虔誠 嗰啲 囉 即係 有時 返 吓 教會 啊 聚會 吓 咁 樣 囉,"即係, 但唔係話好虔誠嗰啲囉, 即係有時返吓教會啊聚會吓咁樣囉.",C19,Cantonese,H,Homeland,ACH2004,1,True
係 嘞,係嘞.,C2,Cantonese,H,Homeland,ACH2004,0,False
我 無,我無.,C2,Cantonese,H,Homeland,ACH2004,0,False
唔 算,唔算.,C2,Cantonese,H,Homeland,ACH2004,1,True
香港人 囉 係 喇,香港人囉. 係喇.,C4,Cantonese,H,Homeland,ACH2004,0,False
即係 係 喇,"即係, 係喇.",C3,Cantonese,H,Homeland,ACH2004,0,False
我 諗 最 接近 都 係,我諗最接近都係::,C6,Cantonese,H,Homeland,ACH2004,0,False
係 喇,係喇.,C2,Cantonese,H,Homeland,ACH2004,0,False
係 喇,係喇.,C2,Cantonese,H,Homeland,ACH2004,0,False
咁 樣 囉,咁樣囉.,C3,Cantonese,H,Homeland,ACH2004,0,False
係 喇,係喇. ,C2,Cantonese,H,Homeland,ACH2004,0,False
大部分 中國,大部分中國.,C2,Cantonese,H,Homeland,ACH2004,0,False
係 喇 係 喇 始終 係 囉 香港 囉,係喇係喇始終係囉香港囉.,C9,Cantonese,H,Homeland,ACH2004,0,False
係 喇 係 喇,係喇係喇.,C4,Cantonese,H,Homeland,ACH2004,0,False
大部分 人中 國 係 啦,大部分人中國.,C5,Cantonese,H,Homeland,ACH2004,0,False
大部分 人中 國 係 啦,係啦.,C5,Cantonese,H,Homeland,ACH2004,0,False
有 幾 個 外國人 囉 係 喇 但係 大部分 中國,有.. 幾個:: 外國人囉:: 係喇.,C10,Cantonese,H,Homeland,ACH2004,0,False
係 喇 但係 大部分 中國,但係大部分中國.,C5,Cantonese,H,Homeland,ACH2004,0,False
中國 即係 外 香港人 囉 係 喇,"(X)中國. 即係(外) — 香港人囉, 係喇.",C7,Cantonese,H,Homeland,ACH2004,0,False
熟習 佢 嘅 文化 囉 係 嘞 即係 可能 香港 都 係 有 佢 嘅 特別 嗰種 文化 嗰種 諗嘢 嘅 方法 囉 係 嘞,"熟習佢嘅文化囉:: 係嘞 即係可能... 香港都係有佢嘅特別嗰種文化, ... 嗰種諗嘢嘅方法囉, 係嘞.",C25,Cantonese,H,Homeland,ACH2004,0,False
