reconstructed_sentence,sentence_original,pattern,matrix_language,group_code,group,participant_id,filler_count,has_fillers
Uh sure But 我 啲 朋友 call me Jojo,Uh:: sure. But 我啲朋友 call me Jojo？,E3-C3-E3,English,H,Homeland,ACH2004,1,True
J O J O,J-O-J-O.,E4,English,H,Homeland,ACH2004,0,False
我 填 問卷 嗰時 呢 佢 畀 我 揀 三 格 㗎 嘛 咁 我 就 揀 咗 香港,"(X)(X) — 我填問卷嗰時呢:: 佢畀我揀三格㗎嘛, 咁我就揀咗香港.",C19,Cantonese,H,Homeland,ACH2004,0,False
但係 其實 I was born in Canada 但係 我 三 個 禮拜 就 返 咗 嚟 所以 我 覺得 都 唔 計 啦,"但係其實 I was born in Canada, 但係我三個禮拜就返咗嚟.",C2-E5-C16,Cantonese,H,Homeland,ACH2004,1,True
但係 我 三 個 禮拜 就 返 咗 嚟 所以 我 覺得 都 唔 計 啦 係咪 啊 即係 我 都 無 係 嗰度 出世 即係 長大 過,"所以我覺得都唔計啦, 係咪啊. 即係我都無係嗰度出世, 即係長大過.",C28,Cantonese,H,Homeland,ACH2004,2,True
都 係 嘅,都係嘅. ,C3,Cantonese,H,Homeland,ACH2004,0,False
哦 好 囉,哦:: 好囉.,C3,Cantonese,H,Homeland,ACH2004,1,True
做緊 嘢,做緊嘢.,C2,Cantonese,H,Homeland,ACH2004,0,False
我 做 醫生,我做醫生.,C3,Cantonese,H,Homeland,ACH2004,0,False
Uh 香港 兩 個 都 係 香港,Uh:: 香港. 兩個都係香港. ,E1-C6,Cantonese,H,Homeland,ACH2004,1,True
Uh 大陸,Uh:: 大陸.,E1-C1,Cantonese,H,Homeland,ACH2004,1,True
應該 係 係 即係 上 一代 嗰啲 呢 喺 即係 香港 好多 潮州 人 㗎 嘛,"應該係:: 係, 即係上一代嗰啲呢喺 — 即係香港好多潮州人㗎嘛, ",C16,Cantonese,H,Homeland,ACH2004,0,False
即係 我 婆婆 爺爺 就 喺 嗰邊 囉 跟住 就嚟 咗 香港 嗰邊 囉,即係我婆婆爺爺就喺嗰邊囉跟住就嚟咗香港嗰邊囉.,C14,Cantonese,H,Homeland,ACH2004,0,False
係 呀,係呀.,C2,Cantonese,H,Homeland,ACH2004,0,False
有 有 個 妹,"有, 有個妹.",C4,Cantonese,H,Homeland,ACH2004,0,False
都 係 屋企 囉 都 係 喺 香港 出世,"都係屋企囉, 都係喺香港出世. ",C9,Cantonese,H,Homeland,ACH2004,0,False
香港 係 嘞,香港. 係嘞.,C3,Cantonese,H,Homeland,ACH2004,0,False
Uh 香港,Uh 香港.,E1-C1,Cantonese,H,Homeland,ACH2004,1,True
無 我 都 淨係 香港 𠺢,"無, 我都淨係香港𠺢.",C6,Cantonese,H,Homeland,ACH2004,0,False
出世 跟住 返 咗 香港 喇 跟住 就 無 係 啦 無 住 過 其他 地方,"出世, 跟住返咗香港喇, 跟住就無:: 係啦, 無住過其他地方.",C16,Cantonese,H,Homeland,ACH2004,0,False
都 係 香港,都係香港.,C3,Cantonese,H,Homeland,ACH2004,0,False
我 嗰時 返國 際 學校,我嗰時返國際學校.,C5,Cantonese,H,Homeland,ACH2004,0,False
係 喇 係 喇,"係喇, 係喇.",C4,Cantonese,H,Homeland,ACH2004,0,False
幼稚園 都 係,幼稚園都係.,C3,Cantonese,H,Homeland,ACH2004,0,False
Uh 我 打 畀 你 呀,Uh:: (XX)我打:: 畀你呀.,E1-C5,Cantonese,H,Homeland,ACH2004,1,True
International 啦 小學 跟住 就 uh 幼稚園,"XX International 啦, 小學, 跟住就.. uh (X) 幼稚園.",E1-C4-E1-C1,Cantonese,H,Homeland,ACH2004,1,True
跟住 小學 就 跟住 中學 就,"跟住:: (小學)就 XXXXX, 跟住中學就 XXXXX.",C6,Cantonese,H,Homeland,ACH2004,0,False
