reconstructed_sentence,sentence_original,pattern,matrix_language,group_code,group,participant_id,filler_count,has_fillers
Uh sure But 我 啲 朋友 call me Jojo,Uh:: sure. But 我啲朋友 call me Jojo？,E2-C3-E3,English,H,Homeland,ACH2004,1,True
但係 其實 I was born in Canada 但係 我 三 個 禮拜 就 返 咗 嚟 所以 我 覺得 都 唔 計 啦,"但係其實 I was born in Canada, 但係我三個禮拜就返咗嚟.",C2-E5-C15,Cantonese,H,Homeland,ACH2004,1,True
International 啦 小學 跟住 就 uh 幼稚園,"XX International 啦, 小學, 跟住就.. uh (X) 幼稚園.",E1-C5,Cantonese,H,Homeland,ACH2004,1,True
無 呀 一個 月 囉 一兩個 月 都 唔 計 囉 即係 嗰啲 summer holiday 嗰啲,"無呀:: 一個月囉, 一兩個月都唔計囉, 即係嗰啲 summer holiday 嗰啲.",C12-E2-C1,Cantonese,H,Homeland,ACH2004,1,True
香港人 但係 唔係 local 嘅 香港人 即係 無 typical local 囉 因為 international school 嘅 raising,"香港人但係.. 唔係 lo::cal 嘅香港人, 即係無 typical local 囉, 因為:: international school 嘅 raising.",C3-E1-C4-E2-C2-E2-C1-E1,Cantonese,H,Homeland,ACH2004,0,False
即係 身分 就 似 香港人 但係 culturally 就 可能 似 返 啲 ABC 多 啲 囉 因為 即係 即係 睇 啲 media 全部 都 係 外國 啊 咁 樣 跟住 教育 又 係 英文 啊 跟住 啲 朋友 又 係 講 英文 啊 咁 樣 所以 就 會 外國 化 多 啲 囉 但係 有無 比起 一個,"即係身分就似香港人但係 culturally 就可能似::返啲 ABC 多啲囉, 因為::.. 即係... 即係睇啲 media 全部都係外國啊:: 咁樣, 跟住教育又係英文啊:: 跟住啲朋友又係講英文啊:: 咁樣所以就(會)... 外國化多啲囉. ",C6-E1-C5-E1-C8-E1-C32,Cantonese,H,Homeland,ACH2004,3,True
但係 有無 比起 一個 ABC 咁 ABC 囉,但係有無比起一個 ABC 咁 ABC 囉.,C4-E1-C1-E1-C1,Cantonese,H,Homeland,ACH2004,0,False
都 係 im 都 係 通常 嗰啲 外國 born 嘅 Chinese 囉 無 話 特別 邊個 國家 嘅 加拿大 啊 美國 英國 澳洲 囉 呢啲 English speaking country 咁 樣,"都係im — 都係通常嗰啲:: 外國 born 嘅 Chinese 囉, 無話特別邊個國家嘅, 加拿大啊美國英國澳洲囉, (呢啲)... English speaking country 咁樣.",C2-E1-C5-E1-C1-E1-C13-E3-C2,Cantonese,H,Homeland,ACH2004,1,True
但係 即係 可能 又 有啲 嘢 喺 美國 佢哋 又 好 specific to 美國 我 又 未必 知 嘅 係 喇,"但係即係可能又有啲嘢喺美國佢哋又好 specific to 美國, 我又未必知嘅:: 係喇.",C11-E2-C8,Cantonese,H,Homeland,ACH2004,0,False
香港 覺得 香港人 比較 即係 realistic 嘅 即係 focus on 啲 譬如,"香港... (覺得)香港人比較即係 realistic 嘅, 即係 focus on 啲:: 譬如::",C5-E1-C2-E2-C2,Cantonese,H,Homeland,ACH2004,0,False
譬如 啲 嘢 儲錢 咁 樣 佢哋 會 諗 將來 啦 係 啦 即係 比較 rational 啲 係 啦 vers 外國 就 可能 eh 會 可能 諗 依家 think about the live in the present 多過 planning for the future 啦 咁 呢個 係 一個 香港 一個 係 喇 或者 Chinese culture 一種 即係 諗法 啦,"譬如啲嘢 — 儲錢咁樣佢哋會諗將來啦:: 係啦, (XXXXX)即係比較 rational 啲, 係啦, vers 外國就可能... eh::.. 會:: 可能諗依家 think about the — live in the present 多過 planning for the future 啦, 咁呢個係一個香港一個 — 係喇, 或者 Chinese culture一種:: 即係, 諗法啦.",C15-E1-C3-E1-C7-E7-C1-E4-C10-E2-C4,Cantonese,H,Homeland,ACH2004,1,True
但係 呢啲 都 好 Chinese 嘅 specific to 香港 呢 香港人 鍾意 搵錢 囉 係 喇 咁 樣 囉,"但係呢啲都好 Chinese 嘅, specific to 香港呢, ... 香港人鍾意搵錢囉:: 係喇, 咁樣囉.",C4-E1-C1-E2-C11,Cantonese,H,Homeland,ACH2004,0,False
係 嘞 香港 Okay,XX.. 係嘞. 香港. Okay.,C3-E1,Cantonese,H,Homeland,ACH2004,0,False
即係 好 佢 好多 嘢 都 係 好 好 subtle 㗎 嘛 即係 啲 成語 啊 或者 啲 句子 啊 都,"即係好:: — .. 佢好多嘢都係好:: 好 subtle 㗎嘛, 即係啲:: 成語啊或者啲句子啊都 —",C9-E1-C9,Cantonese,H,Homeland,ACH2004,2,True
係 嘞 呢 樣嘢 會 separate 香港 囉 同埋 而家 啲 近排 啦 即係 politically 啲 香港 即係 個 identity 呢 都 好 strong 啦,"係嘞, 呢樣嘢會 separate 香港囉,  同埋而家啲近排啦:: 即係 politically 啲香港:: 即係個 identity 呢, 都好 strong 啦.",C5-E1-C8-E1-C4-E1-C3-E1-C1,Cantonese,H,Homeland,ACH2004,0,False
